iter	MultiClass
170	0.6436943581
171	0.6436392966
172	0.6434899519
173	0.64344855
174	0.6433400252
175	0.6432254137
176	0.6431920477
177	0.6431266904
178	0.6430639342
179	0.6430046483
180	0.6428407384
181	0.6428202907
182	0.6428016964
183	0.642779732
184	0.6427086303
185	0.642620108
186	0.6425726287
187	0.6425556837
188	0.6424656008
189	0.6423958062
190	0.6423092047
191	0.6422985823
192	0.6422079754
193	0.6420927925
194	0.6420535882
195	0.6420229291
196	0.6419895212
197	0.6418973409
198	0.6418399917
199	0.6417698116
200	0.6417158954
201	0.6416255183
202	0.6415781071
203	0.641495952
204	0.6414442957
205	0.6413959708
206	0.6413585467
207	0.6413447132
208	0.6413096803
209	0.6412895124
210	0.6412414903
211	0.6412247659
212	0.6411530437
213	0.6411362883
214	0.6411152207
215	0.6410760698
216	0.6409814615
217	0.6408600554
218	0.6408241608
219	0.6407530736
220	0.6406770197
221	0.6406343411
222	0.640463535
223	0.6404428228
224	0.6404205721
225	0.6403354816
226	0.6403120669
227	0.640208367
228	0.6401414616
229	0.640103141
230	0.6400750508
231	0.6400345433
232	0.6399470273
233	0.6398570047
234	0.6397606966
235	0.639665472
236	0.6396285179
237	0.63960709
238	0.6395742337
239	0.6395104235
240	0.6394298926
241	0.6393840032
242	0.6393761882
243	0.6393633677
244	0.6392969549
245	0.639217036
246	0.6391715027
247	0.6391155239
248	0.63909862
249	0.6390937632
250	0.6390837357
251	0.6389931467
252	0.638952655
253	0.6389207751
254	0.6388615021
255	0.6388306889
256	0.6387589349
257	0.638692652
258	0.638637136
259	0.6386062437
260	0.6385712226
261	0.6385336308
262	0.6384857139
263	0.6384415417
264	0.6384172096
265	0.6383853464
266	0.6383145745
267	0.6382897809
268	0.6382710997
269	0.6381865311
270	0.6381762483
271	0.6381374396
272	0.638125933
273	0.6380845759
274	0.6379948017
275	0.6379422661
276	0.6379098768
277	0.6377503292
278	0.6377339878
279	0.6377056425
280	0.6376949797
281	0.6376567615
282	0.6376256577
283	0.6376161415
284	0.6375782677
285	0.637531021
286	0.6374900947
287	0.6374117533
288	0.6373730852
289	0.637331586
290	0.6372373622
291	0.6371979699
292	0.637169856
293	0.6371489243
294	0.6370907278
295	0.6370382249
296	0.6369976068
297	0.6369291098
298	0.6368882793
299	0.6368762639
300	0.6368485202
301	0.6368197264
302	0.63680881
303	0.6367810067
304	0.6367339023
305	0.6367242514
306	0.6366684282
307	0.6366522012
308	0.6366334337
309	0.6366145924
310	0.6365663481
311	0.6365293572
312	0.6365048239
313	0.6364266018
314	0.6364133501
315	0.6363753609
316	0.6363395787
317	0.6362898168
318	0.636266369
319	0.6362390513
320	0.6362139545
321	0.6361806436
322	0.6361445752
323	0.6361231037
324	0.6361059887
325	0.6360848827
326	0.6360195519
327	0.6359852093
328	0.6359618497
329	0.635940284
330	0.6359138591
331	0.6358972338
332	0.6358170368
333	0.6358051608
334	0.6357513735
335	0.6357147786
336	0.6356999375
337	0.6356867679
338	0.6356737424
339	0.6356311905
340	0.63560124
341	0.635569439
342	0.6355585364
343	0.6355442965
344	0.6355286609
345	0.635481241
346	0.635450743
347	0.6354195726
348	0.635376866
349	0.6353670944
350	0.6353262481
351	0.635279531
352	0.6352756293
353	0.635265944
354	0.6352437237
355	0.6352242897
356	0.6351844849
357	0.6351423557
358	0.6351306343
359	0.635126596
360	0.635114604
361	0.6350771986
362	0.6350358741
363	0.6350052887
364	0.6349960983
365	0.6349545891
366	0.6349241953
367	0.6348920806
368	0.6348681907
369	0.6348568325
370	0.6348292502
371	0.634754796
372	0.6347344299
373	0.6347262768
374	0.6347153093
375	0.6346677067
376	0.6346536949
377	0.6346256986
378	0.6346028177
379	0.6345928209
380	0.634568834
381	0.6345513381
382	0.6345111504
383	0.6344692773
384	0.6344485141
385	0.634426867
386	0.6344134966
387	0.634394979
388	0.6343841689
389	0.6343574248
390	0.6343197035
391	0.6343037201
392	0.6342884957
393	0.6342771871
394	0.6342613583
395	0.6342424674
396	0.6342222585
397	0.6342183484
398	0.6342028756
399	0.6341812006
400	0.6341452247
401	0.6341254188
402	0.6340608528
403	0.6340421077
404	0.6340361491
405	0.6340243294
406	0.6340122439
407	0.6339744522
408	0.6339346873
409	0.6338893082
410	0.6338556685
411	0.6338329382
412	0.6338207332
413	0.63380717
414	0.6337789061
415	0.6337652485
416	0.6337616566
417	0.6337528681
418	0.6336971064
419	0.6336783683
420	0.6336458219
421	0.6336320496
422	0.6336162954
423	0.6335959761
424	0.6335659265
425	0.6335556849
426	0.6335279281
427	0.633512257
428	0.6334758975
429	0.6334619485
430	0.6334473385
431	0.633426606
432	0.6334114799
433	0.6333796423
434	0.6333669581
435	0.633351571
436	0.6333435419
437	0.633327951
438	0.6333018908
439	0.6332776869
440	0.6332615575
441	0.6332100861
442	0.6331955503
443	0.6331555763
444	0.6331423595
445	0.6331339864
446	0.6331301031
447	0.6331197565
448	0.6331118113
449	0.6330966994
450	0.6330882975
451	0.633073584
452	0.6330466491
453	0.6330350192
454	0.6330108039
455	0.6329713948
456	0.6329619946
457	0.6329538007
458	0.6329243636
459	0.6328937613
460	0.6328635702
461	0.632843674
462	0.6328226383
463	0.6328105755
464	0.6327998875
465	0.6327832644
466	0.6327673473
467	0.6327594946
468	0.6327528859
469	0.6327447591
470	0.6327158827
471	0.6327044819
472	0.6326948915
473	0.6326853938
474	0.6326659087
475	0.632649931
476	0.6326430664
477	0.6326349351
478	0.6326272442
479	0.632611552
480	0.6326057422
481	0.6325981103
482	0.6325902892
483	0.6325752794
484	0.6325638727
485	0.6325584474
486	0.6325441396
487	0.6325109462
488	0.6324817035
489	0.632469347
490	0.6324621859
491	0.6324571074
492	0.6324365501
493	0.6324276313
494	0.6323993317
495	0.6323877192
496	0.6323718905
497	0.6323647398
498	0.6323593333
499	0.6323443648
500	0.6323250136
501	0.6322996467
502	0.6322901962
503	0.6322730245
504	0.632238046
505	0.6322249569
506	0.6322108203
507	0.6322024281
508	0.6321690903
509	0.6321610317
510	0.6321293431
511	0.6321224023
512	0.6321044041
513	0.632100425
514	0.6320833656
515	0.6320369703
516	0.6320257322
517	0.632014689
518	0.6320066378
519	0.6319993645
520	0.6319529975
521	0.6319334962
522	0.631922443
523	0.6319146644
524	0.6319074248
525	0.6318864844
526	0.6318748364
527	0.6318638734
528	0.6318542004
529	0.6318423226
530	0.6318327168
531	0.6318251707
532	0.6318202251
533	0.6318142619
534	0.631800949
535	0.6317862743
536	0.6317775767
537	0.6317718245
538	0.6317537959
539	0.6317375771
540	0.6317160266
541	0.6317083195
542	0.6317019047
543	0.6316972205
544	0.6316863702
545	0.6316743162
546	0.6316664196
547	0.6316581442
548	0.6316487813
549	0.631637423
550	0.6316252815
551	0.6316212764
552	0.6315950525
553	0.6315899823
554	0.6315826976
555	0.6315591929
556	0.6315440006
557	0.6315198752
558	0.6315084095
559	0.6315047096
560	0.6314942172
561	0.6314794668
562	0.6314522259
563	0.6314394736
564	0.6314319642
565	0.6314246231
566	0.6313859238
567	0.6313741954
568	0.6313526206
569	0.6313431013
570	0.6313303694
571	0.6313152059
572	0.6313084053
573	0.6312946449
574	0.6312730457
575	0.6312408774
576	0.6312294945
577	0.6312277577
578	0.6312263502
579	0.6312163274
580	0.6312026408
581	0.6311997529
582	0.6311769245
583	0.6311686317
584	0.6311626154
585	0.6311449482
586	0.6311363686
587	0.6311262606
588	0.6311222138
589	0.6311183227
590	0.6311023774
591	0.6310914873
592	0.6310820177
593	0.6310794004
594	0.6310514717
595	0.6310472371
596	0.6310374128
597	0.6310276968
598	0.6310166267
599	0.6310103188
600	0.6309749127
601	0.6309717376
602	0.630968578
603	0.6309675732
604	0.6309567451
605	0.6309495299
606	0.630937002
607	0.6309186187
608	0.6308848264
609	0.6308767039
610	0.6308675573
611	0.6308464805
612	0.6308413948
613	0.6308277477
614	0.6308267276
615	0.6308165181
616	0.6308151748
617	0.6308123178
618	0.630802143
619	0.6307964164
620	0.6307900252
621	0.63077987
622	0.6307739855
623	0.6307602315
624	0.6307477643
625	0.6307383279
626	0.6307273762
627	0.6307169229
628	0.6307112492
629	0.6306961946
630	0.6306924957
631	0.6306910123
632	0.6306556183
633	0.6306413174
634	0.6306020483
635	0.6305957012
636	0.6305902914
637	0.6305832076
638	0.6305795378
639	0.6305719523
640	0.6305523716
641	0.6305506645
642	0.6305324658
643	0.6304842967
644	0.6304815346
645	0.6304644373
646	0.6304566064
647	0.6304483069
648	0.6304348859
649	0.6304304894
650	0.6304248264
651	0.6304146936
652	0.630409621
653	0.6304021689
654	0.630391097
655	0.6303846917
656	0.6303792499
657	0.6303704958
658	0.6303629407
659	0.6303535541
660	0.6303465807
661	0.6303407658
662	0.6303367012
663	0.6303332807
664	0.630329065
665	0.6303211986
666	0.6303050455
667	0.6302947427
668	0.6302827761
669	0.6302740618
670	0.6302681677
671	0.6302637138
672	0.6302594781
673	0.630248982
674	0.6302378774
675	0.6302342155
676	0.6302185196
677	0.6302173341
678	0.6302099602
679	0.6302016929
680	0.6301791924
681	0.6301565173
682	0.630152882
683	0.6301391025
684	0.6301178003
685	0.6300951783
686	0.6300925147
687	0.6300874525
688	0.6300807208
689	0.6300775071
690	0.6300633053
691	0.6300622969
692	0.6300481908
693	0.6300469843
694	0.630038359
695	0.6300310369
696	0.6300202844
697	0.6300044917
698	0.630000441
699	0.6299972119
700	0.629991494
701	0.629978294
702	0.6299756743
703	0.6299563761
704	0.6299390919
705	0.6299335922
706	0.6299315924
707	0.6299224729
708	0.6299127808
709	0.6299103952
710	0.6299072785
711	0.6299041765
712	0.6298899131
713	0.6298827828
714	0.6298669266
715	0.6298599549
716	0.6298473574
717	0.6298365829
718	0.6298303292
719	0.6298220277
720	0.6298144776
721	0.6298132755
722	0.6298000696
723	0.6297936471
724	0.6297866832
725	0.6297824178
726	0.629777716
727	0.629769838
728	0.6297585175
729	0.6297536476
730	0.6297486868
731	0.6297400362
732	0.6297373635
733	0.629716902
734	0.629711981
735	0.6297031957
736	0.6296967908
737	0.6296911437
738	0.6296847352
739	0.6296749591
740	0.6296612092
741	0.6296518223
742	0.629641132
743	0.6296389854
744	0.6296342818
745	0.6296270017
746	0.6296210289
747	0.6296171258
748	0.6296134604
749	0.6296123159
750	0.6296072436
751	0.6296057826
752	0.6295990082
753	0.6295964344
754	0.6295936288
755	0.6295886815
756	0.6295847892
757	0.629583054
758	0.6295806496
759	0.6295780867
760	0.6295760892
761	0.6295739489
762	0.6295699339
763	0.6295669974
764	0.6295567186
765	0.6295533502
766	0.6295517235
767	0.6295479806
768	0.6295449102
769	0.6295418034
770	0.62954055
771	0.6295308352
772	0.6295222074
773	0.6295219857
774	0.6295188057
775	0.6295139246
776	0.6295106217
777	0.6295076898
778	0.6295008329
779	0.6294951267
780	0.6294918406
781	0.6294730325
782	0.6294580343
783	0.6294495413
784	0.6294474338
785	0.6294280082
786	0.6294212368
787	0.6294146498
788	0.6294127007
789	0.6294069688
790	0.6293970368
791	0.6293889271
792	0.6293863443
793	0.6293760956
794	0.6293697872
795	0.6293676582
796	0.6293651155
797	0.6293598901
798	0.6293586145
799	0.6293567204
800	0.6293544308
801	0.6293517393
802	0.6293456514
803	0.6293399729
804	0.6293321977
805	0.6293158113
806	0.6293148723
807	0.6293049835
808	0.6293032231
809	0.6292996496
810	0.6292984194
811	0.6292849929
812	0.6292842643
813	0.6292627959
814	0.6292543594
815	0.6292525403
816	0.629248098
817	0.6292326909
818	0.6292300864
819	0.6292250065
820	0.6292238973
821	0.6292149029
822	0.6292101413
823	0.6292071016
824	0.6291944161
825	0.629187056
826	0.6291809454
827	0.6291765848
828	0.6291739026
829	0.6291657782
830	0.6291612325
831	0.6291529929
832	0.6291486471
833	0.6291409169
834	0.6291402113
835	0.6291329725
836	0.6291106263
837	0.6291058669
838	0.6291015721
839	0.6290997021
840	0.6290935325
841	0.6290813998
842	0.6290630975
843	0.6290594517
844	0.6290487467
845	0.6290429015
846	0.6290290519
847	0.6290246305
848	0.6290177687
849	0.629016834
850	0.6290120035
851	0.62899965
852	0.6289905829
853	0.6289810449
854	0.6289708624
855	0.6289676892
856	0.6289625121
857	0.6289474084
858	0.6289427582
859	0.6289206409
860	0.6289107489
861	0.6289044644
862	0.6289008424
863	0.6288968196
864	0.6288958885
865	0.6288932139
866	0.6288893043
867	0.6288858858
868	0.6288827382
869	0.6288820905
870	0.6288803762
871	0.6288776623
872	0.628875083
873	0.6288692585
874	0.6288599599
875	0.628858679
876	0.6288578929
877	0.6288362979
878	0.6288318559
879	0.6288305995
880	0.6288278729
881	0.6288205873
882	0.6288145973
883	0.628812298
884	0.6288082754
885	0.6288061815
886	0.6288023239
887	0.6287968521
888	0.628794397
889	0.6287906616
890	0.6287876813
891	0.6287851684
892	0.6287814159
893	0.6287748579
894	0.6287716235
895	0.6287609358
896	0.628757525
897	0.628756591
898	0.628752043
899	0.628748902
900	0.6287431352
901	0.6287419377
902	0.628738538
903	0.6287372877
904	0.6287324588
905	0.6287220637
906	0.6287209379
907	0.6287180834
908	0.6287170087
909	0.6287142185
910	0.6287083906
911	0.6287063605
912	0.6287045719
913	0.6287028219
914	0.6286984491
915	0.628696846
916	0.6286938765
917	0.6286906156
918	0.628687941
919	0.628679116
920	0.6286626175
921	0.628651923
922	0.6286507421
923	0.6286436756
924	0.6286415024
925	0.6286345529
926	0.6286173806
927	0.6286129057
928	0.6286014595
929	0.6285893108
930	0.6285850755
931	0.6285839834
932	0.6285827216
933	0.6285788364
934	0.6285772164
935	0.6285726644
936	0.6285653718
937	0.6285573505
938	0.628554958
939	0.6285482522
940	0.6285421034
941	0.6285372379
942	0.6285352096
943	0.6285342674
944	0.6285312985
945	0.6285268446
946	0.6285145246
947	0.6285115991
948	0.6285086412
949	0.6285037973
950	0.6284945634
951	0.6284911081
952	0.6284883406
953	0.6284880373
954	0.6284864161
955	0.6284817555
956	0.6284792198
957	0.6284789245
958	0.6284738307
959	0.6284724974
960	0.628459729
961	0.6284576609
962	0.6284524458
963	0.6284482087
964	0.6284469929
965	0.6284436304
966	0.6284409707
967	0.6284362449
968	0.6284336251
969	0.6284310935
970	0.6283995119
971	0.6283764719
972	0.6283709085
973	0.6283674622
974	0.628365368
975	0.6283596205
976	0.628357847
977	0.6283540879
978	0.6283525412
979	0.6283501251
980	0.6283479707
981	0.6283359439
982	0.6283318165
983	0.6283299039
984	0.6283275641
985	0.6283237753
986	0.6283229647
987	0.6283205863
988	0.628318957
989	0.6283179926
990	0.6283173439
991	0.6283132653
992	0.6283089242
993	0.6283013157
994	0.6282944742
995	0.6282867837
996	0.6282795527
997	0.6282707057
998	0.6282647172
999	0.6282628566
